,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,Kholodnyy,89,RU,1569983094,74,62.72,147.95,19.38,2.51
84,Katsuura,75,JP,1569983095,78,33.93,134.5,78.8,16.11
85,Esperance,0,AU,1569982850,64,-33.86,121.89,68.0,8.05
86,Ishigaki,20,JP,1569983097,74,24.34,124.16,86.0,11.41
87,Tacuati,0,PY,1569983099,39,-23.46,-56.74,87.92,8.37
88,Koshurnikovo,0,RU,1569983100,65,54.3,93.39,36.71,3.15
89,New Norfolk,0,AU,1569983023,39,-42.78,147.06,66.99,10.29
90,Ilorin,0,NG,1569983102,94,8.5,4.55,73.4,5.01
91,Kouango,100,CF,1569983103,98,4.99,19.98,69.58,1.92
92,Hamilton,75,CA,1569983104,94,43.26,-79.87,71.6,8.05
93,Coquimbo,0,CL,1569983106,71,-29.95,-71.34,51.8,4.7
94,Castro,0,CL,1569983107,100,-42.48,-73.76,35.6,4.7
95,Marsh Harbour,5,BS,1569983108,78,26.54,-77.06,80.74,17.52
96,Sao Domingos,17,BR,1569983109,56,-13.4,-46.32,77.64,4.0
97,Lompoc,1,US,1569983094,71,34.64,-120.46,62.6,9.17
98,Kilindoni,92,TZ,1569983112,84,-7.91,39.67,77.86,1.59
99,Rionero in Vulture,5,IT,1569983113,88,40.93,15.67,66.2,2.24
100,Padang,100,ID,1569983114,86,-0.92,100.36,77.91,13.85
101,Grindavik,75,IS,1569983115,93,63.84,-22.43,44.6,4.7
102,Mount Isa,0,AU,1569983116,9,-20.73,139.49,91.4,13.87
103,Salalah,75,OM,1569983117,83,17.01,54.1,78.8,4.7
104,Kaitangata,96,NZ,1569983119,62,-46.28,169.85,46.0,11.99
105,Inarcs,0,HU,1569983120,76,47.26,19.33,57.99,5.82
106,Cherskiy,23,RU,1569983121,69,68.75,161.3,28.61,9.98
107,Tigre,0,AR,1569983122,47,-34.42,-58.58,59.0,8.05
108,Faya,0,SA,1569983123,77,18.39,42.45,60.8,3.62
109,Bandarbeyla,55,SO,1569983125,83,9.49,50.81,74.57,4.7
110,Kota Kinabalu,75,MY,1569983126,79,5.98,116.07,86.0,5.82
111,Tarakan,40,ID,1569983106,88,3.3,117.63,78.8,2.24
112,Tubuala,40,PA,1569983128,83,9.52,-79.03,81.0,4.7
113,Gravdal,75,NO,1569983129,100,59.79,5.78,45.0,13.87
114,Jizan,40,SA,1569983131,83,16.89,42.56,77.0,4.7
115,Phrae,40,TH,1569983132,79,18.14,100.15,98.01,1.97
116,Yeppoon,75,AU,1569983133,50,-23.13,150.74,77.0,16.11
117,Talnakh,75,RU,1569983134,75,69.49,88.39,32.0,11.18
118,Ngunguru,100,NZ,1569983135,61,-35.62,174.5,62.01,20.0
119,Kodiak,90,US,1569983137,78,39.95,-94.76,81.0,6.93
120,Ypsonas,0,CY,1569983138,77,34.69,32.96,69.8,3.36
121,Binzhou,10,CN,1569983139,37,37.38,117.96,86.0,5.97
122,Adrar,0,DZ,1569983140,10,27.87,-0.29,78.8,8.05
123,Vila Franca do Campo,20,PT,1569983141,78,37.72,-25.43,73.4,21.92
124,Gazojak,0,TM,1569983143,42,41.19,61.4,50.14,7.23
125,Santa Isabel do Rio Negro,11,BR,1569983144,83,-0.41,-65.02,75.84,2.55
126,Khatanga,0,RU,1569983145,72,71.98,102.47,24.47,4.85
127,Rocha,100,UY,1569982903,97,-34.48,-54.34,54.8,14.9
128,Borba,1,BR,1569983147,59,-4.39,-59.59,80.94,1.66
129,Tashtyp,0,RU,1569983149,49,52.8,89.89,35.9,2.13
130,Hithadhoo,57,MV,1569983150,75,-0.6,73.08,82.67,16.84
131,Bayir,0,TR,1569983151,87,37.27,28.22,59.0,1.12
132,Tabou,100,CI,1569983152,96,4.42,-7.36,73.72,3.51
133,Virginia Beach,1,US,1569983153,77,36.85,-75.98,75.2,4.7
134,Zavodouspenskoye,0,RU,1569983155,74,56.86,65.02,39.0,11.18
135,Lethem,12,GY,1569983156,59,3.38,-59.8,81.26,4.88
136,Balkhash,0,KZ,1569983157,35,46.84,74.98,32.0,15.66
137,Lermontovka,0,RU,1569983158,62,47.15,134.34,73.58,13.31
138,Jalu,0,LY,1569983159,84,29.03,21.55,66.77,3.33
139,Dayong,20,CN,1569983161,70,25.02,118.29,87.8,6.71
140,Hay River,40,CA,1569983162,93,60.82,-115.79,41.0,4.7
141,Kavieng,100,PG,1569983163,72,-2.57,150.8,83.4,10.22
142,Caravelas,7,BR,1569983164,76,-17.73,-39.27,71.38,8.9
143,Bezhetsk,95,RU,1569983165,92,57.78,36.69,41.66,9.1
144,Haines Junction,100,CA,1569983167,93,60.75,-137.51,39.16,9.13
145,Tigil,87,RU,1569983168,60,57.8,158.67,45.93,13.56
146,Ueno,1,JP,1569983169,57,36.07,138.76,88.0,3.36
147,Kruisfontein,97,ZA,1569983170,86,-34.0,24.73,52.57,7.31
148,Provideniya,75,RU,1569983171,81,64.42,-173.23,46.4,11.18
149,Cassilandia,96,BR,1569983173,30,-19.11,-51.73,83.37,4.38
150,Iraan,1,US,1569983174,54,30.91,-101.9,82.99,11.41
151,Yaan,96,NG,1569983175,96,7.38,8.57,72.19,2.71
152,Alofi,75,NU,1569983176,69,-19.06,-169.92,80.6,10.29
153,Beloha,30,MG,1569983177,90,-25.17,45.06,65.91,6.37
154,Bonavista,83,CA,1569983179,79,48.65,-53.11,43.0,5.99
155,Yarovoye,0,RU,1569983180,61,52.92,78.56,42.72,6.24
156,Yulara,100,AU,1569983181,8,-25.24,130.99,96.8,12.75
157,Mount Gambier,9,AU,1569983182,23,-37.83,140.78,77.0,18.34
158,Berlevag,76,NO,1569983183,66,70.86,29.09,39.95,25.1
159,Airai,10,TL,1569983185,31,-8.93,125.41,84.2,11.58
160,Pandan,100,PH,1569983186,64,11.72,122.09,84.7,0.4
161,Pevek,100,RU,1569983187,89,69.7,170.27,30.75,23.62
162,Pyatnitskoye,91,RU,1569983188,87,54.34,35.89,44.6,6.71
163,Coihaique,0,CL,1569983189,74,-45.58,-72.07,35.6,3.36
164,Khonsa,65,IN,1569983191,96,26.99,95.51,70.08,0.45
165,Enumclaw,1,US,1569982945,57,47.2,-121.99,57.2,2.77
166,Rantepao,20,ID,1569983193,57,-2.97,119.9,75.65,4.88
167,Dingle,100,PH,1569983194,69,11.0,122.67,84.54,5.14
168,Torbay,90,CA,1569983195,80,47.66,-52.73,43.0,6.93
169,Tiksi,100,RU,1569983197,88,71.64,128.87,29.22,22.06
170,Tucurui,42,BR,1569983198,92,-3.77,-49.67,73.72,0.76
171,Kudahuvadhoo,83,MV,1569983199,77,2.67,72.89,82.49,15.32
172,Cap Malheureux,40,MU,1569983200,88,-19.98,57.61,73.0,5.82
173,Hobyo,4,SO,1569983201,93,5.35,48.53,75.36,1.28
174,Ingham,15,AU,1569983203,62,-18.65,146.16,77.68,7.05
175,Sangar,62,RU,1569983204,70,63.92,127.47,30.59,12.06
176,Nome,1,US,1569983205,83,30.04,-94.42,82.99,3.36
177,Atuona,28,PF,1569983206,73,-9.8,-139.03,79.79,13.13
178,Orotukan,100,RU,1569983207,64,62.26,151.67,22.22,2.42
179,Namibe,100,AO,1569983209,78,-15.19,12.15,64.65,4.97
180,Jimenez,40,PA,1569983210,100,8.54,-82.37,75.2,2.24
181,Walvis Bay,55,NA,1569983211,93,-22.95,14.51,63.0,10.29
182,Tongren,65,CN,1569983212,48,27.72,109.18,80.79,2.46
183,Hailey,90,US,1569983213,93,43.52,-114.32,35.6,3.74
184,Bredasdorp,100,ZA,1569983214,93,-34.53,20.04,57.0,2.24
185,Maine-Soroa,83,NE,1569983216,48,13.21,12.02,84.83,9.37
186,Longyearbyen,75,NO,1569983217,79,78.22,15.63,24.8,2.24
187,Belyy Yar,0,RU,1569983218,86,53.6,91.39,33.8,4.47
188,Santa Maria,0,BR,1569983219,50,-16.02,-48.01,77.0,5.82
189,Oriximina,30,BR,1569983220,72,-1.77,-55.87,79.98,6.26
190,Dewa,90,IN,1569983222,100,27.04,81.17,75.2,3.36
191,Pokhara,92,NP,1569983223,75,28.21,83.99,56.82,3.98
192,Pyaozerskiy,100,RU,1569983224,75,65.83,31.17,37.43,30.06
193,Palmer,0,AU,1569983225,33,-34.85,139.16,82.0,5.99
194,Zhangjiakou,0,CN,1569983226,55,40.77,114.88,64.47,5.08
195,Lebu,100,ET,1569983228,93,8.96,38.73,54.41,2.26
196,Vila,40,IT,1569983229,100,45.18,8.4,64.0,4.7
197,Henties Bay,100,NA,1569983230,87,-22.12,14.28,63.0,5.99
198,Tha Bo,0,TH,1569983231,74,17.85,102.58,84.2,2.24
199,Nikki,100,BJ,1569983232,96,9.94,3.21,71.13,7.27
200,Vammala,90,FI,1569983234,93,61.34,22.91,39.99,2.24
201,La Ronge,90,CA,1569983235,60,55.1,-105.3,41.0,4.7
202,Camacha,40,PT,1569983236,77,33.08,-16.33,69.8,11.41
203,East London,0,ZA,1569983237,82,-33.02,27.91,52.35,8.3
204,Araouane,27,ML,1569983238,13,18.9,-3.53,90.39,8.77
205,Calamar,38,CO,1569983240,85,1.96,-72.65,74.87,3.0
206,Moog,74,PH,1569983241,81,8.6,124.47,82.99,4.0
207,Port Elizabeth,1,US,1569983242,83,39.31,-74.98,73.4,9.42
208,Misratah,0,LY,1569983243,68,32.38,15.09,75.7,9.57
209,Thompson,5,CA,1569983244,79,55.74,-97.86,26.6,3.62
210,Hasaki,20,JP,1569983232,61,35.73,140.83,90.0,3.36
211,Tayu,75,JP,1569983247,69,35.06,136.67,84.0,9.17
212,Lavrentiya,85,RU,1569983248,85,65.58,-170.99,41.63,6.8
213,Dumbraveni,0,RO,1569983249,93,46.23,24.57,46.4,4.7
214,Luena,100,AO,1569983250,86,-11.78,19.91,57.81,2.44
215,Kieta,100,PG,1569983252,73,-6.22,155.63,82.22,3.74
216,Hulan,0,IR,1569983253,24,34.23,47.18,55.4,0.58
217,Kargasok,100,RU,1569983254,88,59.06,80.87,40.91,12.24
218,Carnarvon,100,ZA,1569983255,31,-30.97,22.13,49.47,10.07
219,Kodino,100,RU,1569983256,91,63.72,39.64,39.86,14.36
220,Auki,65,NG,1569983258,87,12.18,6.51,74.01,6.04
221,Itoman,75,JP,1569983259,79,26.12,127.67,89.6,14.99
222,Santa Maria da Vitoria,1,BR,1569983260,56,-13.39,-44.19,74.51,3.24
223,Sioux Lookout,75,CA,1569983255,86,50.1,-91.92,39.2,2.24
224,Srednekolymsk,0,RU,1569983263,51,67.46,153.71,31.47,10.27
225,Pingliang,100,CN,1569983264,75,35.54,106.68,57.52,7.74
226,Roald,100,NO,1569983265,93,62.58,6.12,46.4,10.29
227,Marisel,10,RO,1569983266,93,46.65,23.13,45.0,2.24
228,Saskylakh,100,RU,1569983267,90,71.97,114.09,26.52,9.48
229,Turukhansk,100,RU,1569983268,97,65.8,87.96,37.41,9.58
230,Avera,40,US,1569983270,69,33.19,-82.53,82.4,2.86
231,Eureka,1,US,1569982997,81,40.8,-124.16,54.0,5.82
232,Oyama,20,JP,1569983272,54,36.31,139.8,91.0,3.36
233,Vila Velha,75,BR,1569983273,78,-3.71,-38.6,78.8,11.41
234,Bilma,26,NE,1569983274,17,18.69,12.92,85.29,10.98
235,Dembi Dolo,100,ET,1569983276,71,8.53,34.8,67.37,3.65
236,Rawson,0,AR,1569983277,61,-43.3,-65.11,39.72,8.72
237,Saint-Denis,75,FR,1569983278,93,48.94,2.36,57.99,10.29
238,Komsomolskiy,97,RU,1569983279,96,67.55,63.78,38.49,8.86
239,Kitimat,90,CA,1569983280,57,54.02,-128.69,51.8,2.71
240,Hue,20,VN,1569983282,53,16.47,107.58,95.0,3.36
241,Santa Fe,100,AR,1569983018,61,-31.62,-60.7,59.0,5.99
242,Brigham City,1,US,1569983284,50,41.51,-112.02,51.8,3.36
243,Saint Anthony,75,US,1569983225,52,43.97,-111.68,46.4,3.36
244,Hadgaon,1,IN,1569983286,80,19.5,77.66,77.19,7.18
245,Alpena,90,US,1569983278,93,45.06,-83.43,57.0,11.41
246,Vestmannaeyjar,64,IS,1569983289,73,63.44,-20.27,47.76,16.46
247,Faanui,25,PF,1569983290,77,-16.48,-151.75,76.26,20.83
248,Plastun,0,RU,1569983291,24,44.76,136.29,77.72,3.83
249,Soavinandriana,83,MG,1569983292,74,-19.17,46.74,69.0,0.87
250,Klaksvik,37,FO,1569983293,81,62.23,-6.59,44.6,21.92
251,Nebolchi,23,RU,1569983295,85,59.12,33.35,43.1,10.71
252,Nikolskoye,20,RU,1569983219,93,59.7,30.79,44.01,8.95
253,Norman Wells,90,CA,1569983279,87,65.28,-126.83,48.2,2.24
254,Canico,40,PT,1569983298,73,32.63,-16.85,69.8,9.17
255,Usinsk,97,RU,1569983299,93,66.0,57.56,42.67,10.49
256,Port-Cartier,90,CA,1569983284,98,50.03,-66.88,33.01,8.05
257,Eydhafushi,100,MV,1569983302,75,5.1,73.07,83.1,10.54
258,Hofn,0,IS,1569983303,63,64.25,-15.21,20.94,3.33
259,Byron Bay,0,AU,1569983292,52,-28.65,153.62,77.0,12.75
260,Vanavara,98,RU,1569983305,75,60.35,102.28,34.62,8.77
261,Tura,100,RU,1569983306,70,64.27,100.22,31.71,7.72
262,Lata,1,IN,1569983308,65,30.78,78.62,39.36,3.04
263,Kapit,100,MY,1569983309,96,2.02,112.94,74.64,1.72
264,Kahului,40,US,1569983243,55,20.89,-156.47,86.0,25.28
265,Kazuno,0,JP,1569983311,73,40.2,140.83,82.99,3.36
266,Tabat,82,ID,1569983312,39,-2.64,115.23,99.23,1.1
267,Poum,0,MK,1569983314,78,41.28,20.71,51.54,2.64
268,Itarema,20,BR,1569983315,83,-2.92,-39.92,75.72,8.84
269,Lac du Bonnet,90,CA,1569983316,100,50.25,-96.06,41.0,7.72
270,Fortuna,1,US,1569983317,87,40.6,-124.16,54.0,10.29
271,Ancud,0,CL,1569983318,100,-41.87,-73.83,35.6,4.7
272,Lipari,20,IT,1569983319,94,38.47,14.95,72.0,3.67
273,Fortuna Foothills,1,US,1569983321,19,32.66,-114.41,80.6,9.17
274,Pawai,100,IN,1569983322,89,24.27,80.17,74.06,8.3
275,Benguela,100,AO,1569983323,81,-12.58,13.4,70.86,7.76
276,San Quintin,100,PH,1569983324,69,17.54,120.52,84.59,4.45
277,Weyburn,100,CA,1569983075,87,49.67,-103.85,39.99,5.01
278,Agutaya,92,PH,1569983327,74,11.15,120.94,82.4,8.75
279,Sao Felix do Xingu,92,BR,1569983328,97,-6.64,-51.99,71.04,2.55
280,Dikson,94,RU,1569983235,83,73.51,80.55,28.74,15.95
281,Manaure,75,CO,1569983330,79,11.78,-72.45,84.2,4.7
282,Bambous Virieux,40,MU,1569983331,88,-20.34,57.76,73.0,5.82
283,Kuito,86,AO,1569983333,81,-12.38,16.94,55.54,3.58
284,Aurada,62,IN,1569983334,81,18.25,77.42,75.65,8.66
285,Lezajsk,0,PL,1569983335,51,50.26,22.42,62.6,14.99
286,Buraydah,0,SA,1569983336,38,26.33,43.97,77.0,2.24
287,Vao,0,EE,1569983251,84,59.1,26.19,44.33,13.96
288,Huainan,30,CN,1569983338,56,32.59,117.01,81.86,6.58
289,Talara,22,PE,1569983339,91,-4.58,-81.27,64.65,20.33
290,Bubaque,20,GW,1569983341,88,11.28,-15.83,80.45,15.21
291,Zhigansk,84,RU,1569983342,74,66.77,123.37,26.81,4.06
292,Verkhnevilyuysk,85,RU,1569983343,68,63.45,120.31,32.66,6.76
293,Ebenthal,0,AT,1569983344,87,48.44,16.79,59.0,10.29
294,Riyadh,0,SA,1569983288,31,24.63,46.72,77.0,4.12
295,Nanortalik,100,GL,1569983344,64,60.14,-45.24,42.33,2.98
296,Qena,0,EG,1569983348,50,26.16,32.72,75.2,5.32
297,Nsanje,92,MZ,1569983349,80,-16.92,35.26,70.62,10.85
298,Seredka,100,RU,1569983350,89,58.06,38.14,41.18,10.58
299,Regeneracao,100,BR,1569983351,62,-6.24,-42.69,79.28,4.25
300,Valle de Allende,5,MX,1569983352,70,26.94,-105.39,68.28,8.23
301,Antofagasta,75,CL,1569983354,87,-23.65,-70.4,57.2,16.11
302,Linxia,96,CN,1569983355,50,35.6,103.21,61.35,5.82
303,Tessalit,2,ML,1569983356,14,20.2,1.01,85.24,6.11
304,Laguna,40,BZ,1569983357,94,16.17,-88.94,78.8,1.19
305,Geraldton,90,CA,1569983358,93,49.72,-86.95,37.4,5.82
306,Kavaratti,20,IN,1569983360,78,10.57,72.64,82.4,2.46
307,Cartagena,0,ES,1569983361,41,37.63,-1.0,78.01,8.05
308,Corpus Christi,75,US,1569983227,79,27.8,-97.4,84.99,11.41
309,Tilichiki,9,RU,1569983363,54,60.47,166.1,39.45,17.54
310,Vardo,1,US,1569983364,78,39.62,-77.74,77.0,4.7
311,Bathsheba,20,BB,1569983256,74,13.22,-59.52,82.4,11.41
312,Tadpatri,90,IN,1569983367,63,14.92,78.02,83.22,4.45
313,Malanje,23,AO,1569983368,92,-9.54,16.35,64.43,5.77
314,Los Llanos de Aridane,95,ES,1569983369,88,28.66,-17.92,82.99,11.41
315,Mingyue,0,CN,1569983370,40,43.11,128.91,74.15,4.56
316,Tautira,40,PF,1569983372,58,-17.73,-149.15,82.4,9.17
317,Igra,100,RU,1569983373,79,57.55,53.1,51.01,5.99
318,Thunder Bay,90,CA,1569983162,70,48.41,-89.26,48.2,4.7
319,Alekseyevka,75,RU,1569983375,76,53.25,50.49,53.6,17.9
320,Kemin,67,KG,1569983376,59,42.79,75.7,45.91,2.66
321,Kupang,20,ID,1569983377,46,-10.16,123.6,89.6,23.04
322,Ostrovnoy,100,RU,1569983379,93,68.05,39.51,34.62,33.76
323,Yichun,8,CN,1569983380,65,47.72,128.88,69.69,4.63
324,Mahanoro,62,MG,1569983381,93,-19.9,48.8,67.55,1.34
325,Constitucion,90,MX,1569983382,60,23.99,-104.67,68.0,4.7
326,Lakes Entrance,35,AU,1569983384,28,-37.88,147.99,80.01,3.0
327,Sao Jose da Coroa Grande,31,BR,1569983385,89,-8.9,-35.15,70.34,2.8
328,Fort Nelson,20,CA,1569983386,66,58.81,-122.69,55.4,2.24
329,Bethel,90,US,1569983387,66,60.79,-161.76,48.2,5.82
330,Manta,10,RO,1569983388,48,45.1,24.1,55.68,4.21
331,Mayo,90,CA,1569983390,81,63.59,-135.9,48.2,8.05
332,Sao Joao da Barra,82,BR,1569983391,82,-21.64,-41.05,66.12,3.6
333,Bukene,70,TZ,1569983392,84,-4.23,32.89,67.04,2.26
334,Talaya,0,RU,1569983393,59,55.79,84.89,37.4,13.42
335,Mogadishu,5,SO,1569983326,90,2.04,45.34,76.2,6.67
336,Baymak,99,RU,1569983396,69,52.6,58.31,36.77,7.43
337,Atar,97,MR,1569983397,10,20.52,-13.05,92.6,10.18
338,Tumkur,40,IN,1569983398,100,13.34,77.1,81.0,5.82
339,Dongsheng,54,CN,1569983399,40,29.72,112.52,85.31,5.66
340,Punta Alta,0,AR,1569983400,43,-27.46,-55.82,87.8,6.93
341,Chapais,90,CA,1569983403,93,49.78,-74.86,37.4,8.05
342,Malokakhovka,0,UA,1569983404,63,46.78,33.45,53.29,4.88
343,Guarapari,90,BR,1569983405,88,-20.67,-40.5,73.99,4.7
344,Tabatinga,0,BR,1569983406,47,-21.74,-48.69,78.8,2.24
345,Nichinan,75,JP,1569983408,79,31.65,131.31,84.2,8.05
346,Tambovka,13,RU,1569983409,87,47.32,47.38,57.59,9.91
347,Mitu,0,IR,1569983410,66,36.2,46.09,45.03,1.99
348,Nagato,75,JP,1569983411,74,34.35,131.14,84.0,18.34
349,Lagos,20,NG,1569983173,100,6.46,3.39,75.2,3.36
350,Miri,100,NG,1569983414,81,10.31,9.75,72.15,3.69
351,Ebebiyin,97,GQ,1569983415,99,2.15,11.34,67.98,2.51
352,Betanzos,20,ES,1569983416,87,43.28,-8.21,63.0,6.93
353,Goya,100,AR,1569983417,94,-29.14,-59.27,64.86,16.24
354,Bowen,40,AU,1569983418,47,-20.01,148.25,80.6,24.16
355,Chuzhou,75,CN,1569983420,52,32.25,118.33,91.99,3.0
356,Barabai,82,ID,1569983421,39,-2.59,115.38,99.23,1.1
357,Moskovskiy,0,RU,1569983422,87,55.6,37.35,46.0,8.95
358,Tulum,20,MX,1569983423,78,20.21,-87.46,82.0,5.82
359,Dong Hoi,0,VN,1569983424,65,17.48,106.6,84.9,5.26
360,Senador Pompeu,13,BR,1569983426,79,-5.58,-39.37,72.93,7.14
361,Gao,16,ML,1569983427,36,16.28,-0.04,86.48,6.4
362,Birao,100,CF,1569983428,86,10.3,22.78,71.6,5.44
363,Pervomayskoye,58,RU,1569983429,73,57.07,86.23,38.94,15.59
364,Sao Filipe,52,CV,1569983431,88,14.9,-24.5,78.31,13.62
365,Merauke,89,ID,1569983432,83,-8.49,140.4,79.46,17.87
366,Kilifi,53,KE,1569983433,87,-3.63,39.85,74.01,3.51
367,Sumbe,100,AO,1569983434,89,-11.2,13.84,71.9,9.69
368,Muroto,75,JP,1569983435,78,33.37,134.14,78.8,3.36
369,Egvekinot,100,RU,1569983437,92,66.32,-179.17,31.4,11.45
370,Skowhegan,90,US,1569983407,93,44.77,-69.72,62.01,10.29
371,Tuatapere,100,NZ,1569983325,72,-46.13,167.69,48.0,15.01
372,Guerrero Negro,0,MX,1569983440,79,27.97,-114.04,65.91,16.8
373,Tolaga Bay,100,NZ,1569983441,56,-38.37,178.3,55.94,11.45
